x_value,y_value
-2.343224472135449,-12.606399819557927
-2.143375116168305,-12.6125618868302
-1.9435170666981991,-12.618775042783914
-1.7445014867919815,-12.624909967999304
-1.5446376746044799,-12.631361423573656
-1.3447850947831703,-12.63786819981136
-1.1403957283471602,-12.64315203298776
-0.9405572793506384,-12.649581863915094
-0.7407151267257325,-12.656060090928914
-0.5437704399276676,-12.661349918660509
-0.3438775331980932,-12.66684449554504
-0.14398998767130178,-12.672395299770802
0.058708401783673314,-12.68277854735764
0.23275340204564826,-12.689588778007256
0.23242514418151167,-12.689359982253325
0.23630187219664633,-12.691402455844162
0.23511903589836936,-12.69206870349151
0.23543277100986137,-12.689112167115459
0.2348008908973288,-12.690370562400473
0.23800039044589338,-12.68836262893335
0.23810090949675544,-12.689767119411188
0.23859917767566285,-12.69110306155601
-0.03364900462221165,-12.702006027725533
-0.04518594454669328,-12.685228544818331
-0.06565630424210989,-12.656602784690772
-0.06639760176997178,-12.655583656567941
-0.06680178613743859,-12.65445482779008
-0.038107263580542505,-12.685921704471152
-0.037802497217627795,-12.684605665629364
0.22305476123458146,-12.686686016630986
0.2253501915534134,-12.694523108475783
0.30477548720052106,-12.628302648421213
0.4577828128708783,-12.499540043522108
0.6108091524897294,-12.37085646262537
0.7638685963210794,-12.242209762981977
0.9156119131007388,-12.110228453556783
1.0684929725765944,-11.981335952711166
1.2215652722535384,-11.853169130605034
1.3756648174847437,-11.725743356021068
1.5297884278777671,-11.59836512272342
1.680681312130129,-11.47010889126885
1.832576923728124,-11.340085225625346
1.9845156067824916,-11.210093277515952
2.130235245957794,-11.085163990346635
2.281538872216485,-10.954420878075403
2.4331166274935048,-10.824534128614722
2.58396659686465,-10.693302631203737
2.734846187350888,-10.562107736662595
2.8835418682944636,-10.438372813741843
3.03572647725236,-10.311765928488839
3.189489369695624,-10.183920609370036
3.279307222232195,-10.108616202860109
3.2790162626128696,-10.105566156997394
3.278332300742032,-10.106812908130987
3.278010327504102,-10.108201141098522
3.2780357814679046,-9.921855559191592
3.278563397861527,-9.923194675138529
3.289427834360568,-9.869418864013843
3.2905980564129047,-9.87021189541749
3.2464272876752953,-9.875774393522873
3.2452765218715283,-9.875145016847567
3.2286672376950523,-9.880310090753966
3.2280983246165813,-9.8792584210717
3.289163231610969,-9.865054355092292
3.2892225617402833,-9.863696731521745
3.2693043281525793,-9.910650470113573
3.2697060903437407,-9.916645314526269
3.298916444088605,-9.88997128150021
3.4477469324780703,-9.75288399508634
3.5933168247370535,-9.618714894764699
3.7431135192197007,-9.48282924615216
3.8984702958762845,-9.341611055017921
4.042015600029034,-9.211196109519275
4.186183542926211,-9.086742975149944
4.3371164080789795,-8.95558529414561
4.488093468830838,-8.824463756698595
